,"Monocot-eudicot","O.sativa(Beijing)",,"A.thaliana",
"IPR003511","HORMA domain","4","449","3","432"
"IPR003648","Splicing factor motif","4","450","2","505"
"IPR004010","Cache domain","4","451","0","Inf"
"IPR004104","Oxidoreductase, C-terminal","4","452","3","440"
"IPR004342","EXS C-terminus","4","453","13","180"
"IPR004462","Desulfoferrodoxin FeS4 iron-binding domain","4","454","0","Inf"
"IPR000001","Kringle","3","455","1","521"
"IPR000054","Ribosomal protein L31e","3","456","3","387"
"IPR000089","Biotin / Lipoyl attachment","3","457","3","388"
"IPR000119","Bacterial histone-like DNA-binding protein","3","458","0","Inf"
"IPR000156","RanBP1 domain","3","459","5","311"
"IPR000268","RNA polymerases N/8 Kd subunits","3","460","2","449"
"IPR000281","Helix-turn-helix domain, RpiR family","3","461","0","Inf"
"IPR000305","UvrC homology region 1","3","462","3","392"
"IPR000307","Ribosomal protein S16","3","463","3","393"
"IPR000396","cAMP phosphodiesterases class-II","3","464","1","530"
"IPR000421","Coagulation factor 5/8 type C domain (FA58C)","3","465","3","397"
"IPR000540","Flagellar motor protein MotA","3","466","0","Inf"
"IPR000758","Virulence-related outer membrane protein","3","467","1","537"
"IPR000781","Enhancer of rudimentary","3","468","1","539"
"IPR000814","Transcription factor TFIID","3","469","2","462"
"IPR000830","Peripherin/rom-1 family","3","470","1","541"
"IPR000909","Phosphatidylinositol-specific phospholipase C, X domain","3","471","3","404"
"IPR001040","Eukaryotic translation initiation factor 4E (eIF-4E)","3","472","5","322"
"IPR001119","S-layer protein (SLH domain)","3","473","2","465"
"IPR001120","Prokaryotic N-terminal methylation site","3","474","0","Inf"
"IPR001194","DENN (AEX-3) domain","3","475","3","407"
"IPR001290","Poly(ADP-ribose) polymerase, catalytic region","3","476","2","466"
"IPR001309","ICE-like protease (caspase) p20 domain","3","477","2","468"
"IPR001607","Zn-finger in ubiquitin-hydrolases and other proteins","3","478","7","268"
"IPR001648","Ribosomal protein S18","3","479","3","409"
"IPR001653","Diaminopimelate epimerase","3","480","2","473"
"IPR001796","Dihydrofolate reductase","3","481","3","414"
"IPR001919","Cellulose-binding domain, bacterial type","3","482","1","568"
"IPR001989","Radical activating enzymes","3","483","0","Inf"
"IPR002073","3'5'-cyclic nucleotide phosphodiesterase","3","484","1","571"
"IPR002126","Cadherin domain","3","485","0","Inf"
"IPR002288","DNA gyrase, subunit B C-terminus","3","486","2","484"
"IPR002477","Putative peptidoglycan binding domain 1","3","487","1","576"
"IPR002539","MaoC-like dehydratase domain","3","488","1","577"
"IPR002652","Importin beta binding domain","3","489","6","301"
"IPR002863","DNA mismatch repair protein MutS family, N-terminal domain","3","490","4","376"
"IPR003014","PAN domain","3","491","2","494"
"IPR003033","SCP-2 sterol transfer domain","3","492","1","583"
"IPR003093","Apoptosis regulator protein, Bcl-2 family BH4 domain","3","493","0","Inf"
"IPR003126","Putative zinc finger in N-recognin","3","494","2","496"
"IPR003128","Villin headpiece domain","3","495","5","334"
"IPR003308","Integrase zinc-binding domain","3","496","0","Inf"
"IPR003338","Amino-terminal subdomain, VAT-Nn","3","497","3","428"
"IPR003352","Phosphotransferase system, EIIC","3","498","0","Inf"
"IPR003581","Tail specific protease","3","499","1","595"
"IPR003595","Protein tyrosine phosphatase, catalytic domain","3","500","4","379"
"IPR003601","DNA topoisomerase I ATP-binding domain","3","501","3","433"
"IPR003645","Follistatin-like N-terminal domain","3","502","1","598"
"IPR003769","DUF174","3","503","2","507"
"IPR003774","DUF179","3","504","1","607"
"IPR003823","CP12","3","505","3","436"
"IPR003829","DUF209","3","506","1","611"
"IPR003888","FY-rich domain N-terminus","3","507","6","304"
"IPR003893","Iroquois-class homeodomain protein motif","3","508","2","510"
"IPR003954","RNA recognition_1","3","509","3","438"
"IPR004003","NAD(P) transhydrogenase beta subunit","3","510","0","Inf"
"IPR004017","Domain of unknown function DUF224","3","511","0","Inf"
"IPR004035","Endonuclease III, FCL","3","512","1","616"
"IPR004100","ATP synthase alpha and beta subunit, N-terminal","3","513","1","617"
"IPR004101","Cytoplasmic peptidoglycan synthetases, C-terminal","3","514","1","618"
"IPR004106","Prolyl oligopeptidase, N-terminal beta-propeller domain","3","515","5","339"
"IPR004107","Phage integrase N-terminal SAM-like domain","3","516","0","Inf"
"IPR004112","Fumarate reductase/succinate dehydrogenase flavoprotein, C-terminal","3","517","3","441"
"IPR004149","NAD-dependent DNA ligase C4 zinc finger domain","3","518","0","Inf"
"IPR004181","MIZ zinc finger","3","519","2","516"
"IPR004362","Methylglyoxal synthase-like domain","3","520","2","519"
"IPR000077","Ribosomal protein L39e","2","521","2","444"
"IPR000098","Interleukin-10 family","2","522","1","524"
"IPR000100","Bacterial ribonuclease P protein","2","523","1","525"
"IPR000191","Formamidopyrimidine-DNA glycolase","2","524","1","527"
"IPR000271","Ribosomal protein L34","2","525","1","528"
"IPR000289","Ribosomal protein S28e","2","526","2","451"
"IPR000299","Band 4.1 family","2","527","0","Inf"
"IPR000327","'POU' domain","2","528","2","452"
"IPR000389","Small hydrophilic plant seed protein","2","529","2","454"
"IPR000392","NifH/frxC family","2","530","3","396"
"IPR000489","Dihydropteroate synthase","2","531","3","398"
"IPR000550","7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase","2","532","2","457"
"IPR000591","Pleckstrin putative G-protein interacting domain","2","533","1","535"
"IPR000627","Intradiol ring-cleavage dioxygenase","2","534","3","401"
"IPR000675","Cutinase","2","535","2","459"
"IPR000691","Streptomyces subtilisin-type inhibitor","2","536","0","Inf"
"IPR000713","Cytoplasmic peptidoglycan synthetases, N-terminal","2","537","0","Inf"
"IPR000737","Serine protease inhibitor, squash family","2","538","0","Inf"
"IPR000754","Ribosomal protein S9","2","539","6","292"
"IPR000779","Interleukin-2","2","540","2","460"
"IPR000791","GPR1/FUN34/yaaH family","2","541","2","461"
"IPR000938","CAP-Gly domain","2","542","1","543"
"IPR000967","Zinc finger NF-X1 type","2","543","1","544"
"IPR000980","Src homology 2 (SH2) domain","2","544","2","464"
"IPR000998","MAM domain","2","545","0","Inf"
"IPR001031","Thioesterase","2","546","0","Inf"
"IPR001121","Gamma-adaptin, C-terminus","2","547","4","363"
"IPR001127","Sugar-specific permease, EIIA 1 domain","2","548","0","Inf"
"IPR001227","Acyl transferase domain","2","549","1","547"
"IPR001303","Class II Aldolase and Adducin N-terminal domain","2","550","1","548"
"IPR001378","Uncharacterized protein family UPF0066 (VIRR)","2","551","1","551"
"IPR001462","Hepadnaviral P protein C-terminal domain","2","552","0","Inf"
"IPR001523","'Paired box' domain","2","553","2","471"
"IPR001637","Glutamine synthetase class-I adenylation site","2","554","0","Inf"
"IPR001662","Elongation factor 1 gamma chain","2","555","2","474"
"IPR001674","GMP synthase C terminal domain","2","556","1","556"
"IPR001698","F-actin capping protein beta subunit","2","557","1","557"
"IPR001706","Ribosomal protein L35","2","558","2","475"
"IPR001707","Chloramphenicol acetyltransferase","2","559","3","412"
"IPR001721","C-terminal domain of threonine dehydratase","2","560","1","560"
"IPR001792","Acylphosphatase","2","561","1","566"
"IPR001827","'Homeobox' antennapedia-type protein","2","562","5","327"
"IPR001928","Endothelin and related toxins","2","563","0","Inf"
"IPR001942","Neuromedin U","2","564","2","478"
"IPR001960","WH1 domain","2","565","0","Inf"
"IPR001996","PTS (phosphotransferase system) EIIB domain","2","566","0","Inf"
"IPR002026","Urease gamma subunit","2","567","1","570"
"IPR002221","WAP-type (Whey Acidic Protein) four-disulfide core domain","2","568","1","572"
"IPR002223","Pancreatic trypsin inhibitor (Kunitz)","2","569","2","483"
"IPR002420","Phosphoinositide 3-kinase C2 domain","2","570","1","573"
"IPR002483","PWI domain","2","571","2","486"
"IPR002570","Hpt domain","2","572","2","489"
"IPR002713","FF domain","2","573","2","490"
"IPR002719","Retinoblastoma-associated protein B domain","2","574","1","578"
"IPR002720","Retinoblastoma-associated protein A domain","2","575","1","579"
"IPR002734","RibD/ribG C-terminal domain","2","576","1","580"
"IPR002772","Glycoside hydrolase family 3, C terminal","2","577","2","491"
"IPR002871","NifU-like N terminal domain","2","578","3","421"
"IPR002894","HypB/UreG nucleotide-binding domain","2","579","1","581"
"IPR002908","Frataxin-like domain","2","580","1","582"
"IPR002938","Monooxygenases FAD binding domain","2","581","0","Inf"
"IPR002993","Ornithine decarboxylase antizyme","2","582","2","492"
"IPR003123","Vacuolar sorting protein 9 (VPS9) domain","2","583","2","495"
"IPR003124","WH2 domain","2","584","1","585"
"IPR003151","FAT domain","2","585","1","589"
"IPR003162","Transcription factor TAFII-31","2","586","1","591"
"IPR003221","DNA directed RNA polymerase, 7 kDa subunit","2","587","2","500"
"IPR003228","Transcription initiation factor TFIID subunit","2","588","2","501"
"IPR003585","Putative band 4.1 homologue","2","589","0","Inf"
"IPR003608","MIR domain","2","590","2","504"
"IPR003610","Chitin-binding domain type 3","2","591","0","Inf"
"IPR003732","DUF154","2","592","1","600"
"IPR003746","DUF167","2","593","1","603"
"IPR003788","DUF185","2","594","1","608"
"IPR003789","DUF186","2","595","1","609"
"IPR003798","DUF195","2","596","0","Inf"
"IPR003838","DUF214","2","597","0","Inf"
"IPR003858","Surface exposed protein, C-terminus","2","598","0","Inf"
"IPR003889","FY-rich domain C-terminus","2","599","6","305"
"IPR004006","Dak kinase domain","2","600","2","511"
"IPR004011","GYR motif","2","601","0","Inf"
"IPR004015","SKIP/SNW domain","2","602","1","614"
"IPR004016","ERCC4 domain","2","603","3","439"
"IPR004098","Prp18 domain","2","604","2","514"
"IPR004111","Tetracyclin repressor, C-terminal","2","605","0","Inf"
"IPR004125","Signal peptide binding (SRP54) M-domain","2","606","4","384"
"IPR004163","Coenzyme A transferase 1","2","607","0","Inf"
"IPR004192","Ubiquinol cytochrome reductase transmembrane region","2","608","2","517"
"IPR004198","C5HC2 zinc finger","2","609","6","308"
"IPR004328","BRO1-like domain","2","610","1","623"
"IPR004568","Phosphopantethiene-protein transferase domain","2","611","0","Inf"
"IPR004606","Molybdenum-pterin binding domain","2","612","0","Inf"
"IPR004675","Alkylhydroperoxidase AhpD family core domain","2","613","1","626"
"IPR000055","Restriction modification system, type I","1","614","0","Inf"
"IPR000157","TIR domain","1","615","116","16"
"IPR000177","Apple domain","1","616","0","Inf"
"IPR000219","Dbl domain (dbl/cdc24 rhoGEF family)","1","617","2","448"
"IPR000237","GRIP domain","1","618","0","Inf"
"IPR000293","Channel forming colicins","1","619","0","Inf"
"IPR000320","Hedgehog amino-terminal signaling domain","1","620","0","Inf"
"IPR000334","Glycoside hydrolase family 45","1","621","0","Inf"
"IPR000342","Regulator of G Protein Signaling (RGS) domain","1","622","1","529"
"IPR000359","Cystine-knot domain","1","623","0","Inf"
"IPR000445","Helix-hairpin-helix motif","1","624","1","532"
"IPR000532","Glucagon / GIP / secretin / VIP family","1","625","2","455"
"IPR000601","PKD domain","1","626","0","Inf"
"IPR000773","Granulocyte-macrophage colony-stimulating factor","1","627","1","538"
"IPR000800","Notch (DSL) domain","1","628","0","Inf"
"IPR000857","Core domain in kinesin and myosin motors","1","629","1","542"
"IPR000867","Insulin-like growth factor-binding protein","1","630","0","Inf"
"IPR000949","ELM2 domain","1","631","6","295"
"IPR000962","Prokaryotic dksA/traR C4-type zinc finger","1","632","0","Inf"
"IPR001054","Guanylate cyclase","1","633","0","Inf"
"IPR001162","Excinuclease ABC subunit C domain 2","1","634","1","546"
"IPR001240","N-(5'phosphoribosyl)anthranilate isomerase (PRAI)","1","635","3","408"
"IPR001346","Interferon regulatory factor family","1","636","0","Inf"
"IPR001505","Cu(A) centre of cytochrome c oxidase, subunit II and nitrous oxide reductase","1","637","1","553"
"IPR001699","T-box domain","1","638","1","558"
"IPR001705","Ribosomal protein L33","1","639","1","559"
"IPR001761","Periplasmic binding proteins and sugar binding domain, LacI family","1","640","0","Inf"
"IPR001875","Death effector domain","1","641","0","Inf"
"IPR002172","Low density lipoprotein (LDL)-receptor class A (LDLRA) domain","1","642","0","Inf"
"IPR002178","phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2","1","643","0","Inf"
"IPR002474","Carbamoyl-phosphate synthase small chain","1","644","1","575"
"IPR002545","CheW-like domain","1","645","0","Inf"
"IPR002558","I/LWEQ domain","1","646","2","488"
"IPR002563","Flavin reductase-like domain","1","647","0","Inf"
"IPR002620","Alphavirus nonstructural protein nsP1","1","648","0","Inf"
"IPR002819","HD domain","1","649","0","Inf"
"IPR002865","LexA DNA binding domain","1","650","0","Inf"
"IPR002883","Cellulose-binding domain","1","651","0","Inf"
"IPR003114","Domain associated with PX domains","1","652","0","Inf"
"IPR003115","ParB-like nuclease domain","1","653","1","584"
"IPR003122","Tar ligand binding domain","1","654","0","Inf"
"IPR003166","TFIIE beta subunit core domain","1","655","2","499"
"IPR003219","Cytochrome c, alcohol dehydrogenase-like subunit","1","656","0","Inf"
"IPR003257","Bacterial NUSG","1","657","0","Inf"
"IPR003327","Myc leucine zipper","1","658","1","593"
"IPR003343","Bacterial Ig-like domain (group 2)","1","659","1","594"
"IPR003456","Domain of unknown function DUF143","1","660","2","503"
"IPR003599","Immunoglobulin subtype","1","661","1","596"
"IPR003605","GS motif preceding kinase domain in TGF beta receptor","1","662","0","Inf"
"IPR003622","Potential DAG-kinase catalytic domain","1","663","1","597"
"IPR003665","Type I restriction-modification system, M subunit","1","664","0","Inf"
"IPR003712","Cyanate lyase, C-terminal","1","665","1","599"
"IPR003727","DUF149","1","666","2","506"
"IPR003729","DUF151","1","667","0","Inf"
"IPR003742","DUF163","1","668","1","602"
"IPR003749","DUF170","1","669","1","604"
"IPR003750","DUF171","1","670","1","605"
"IPR003776","DUF181","1","671","0","Inf"
"IPR003790","DUF187","1","672","0","Inf"
"IPR003796","DUF193","1","673","0","Inf"
"IPR003808","UPF0050_DUF","1","674","2","508"
"IPR003810","DUF204","1","675","0","Inf"
"IPR003827","DUF207","1","676","1","610"
"IPR003828","DUF208","1","677","0","Inf"
"IPR003834","Cytochrome c biogenesis protein transmembrane region","1","678","0","Inf"
"IPR003863","Domain of unknown function DUF220","1","679","15","158"
"IPR003879","Butyrophylin C-terminal DUF","1","680","0","Inf"
"IPR004007","Dak phosphatase domain","1","681","2","512"
"IPR004013","PHP domain C-terminal region","1","682","1","613"
"IPR004027","SEC-C motif","1","683","1","615"
"IPR004108","Hydrogenase large subunit, C-terminal","1","684","1","619"
"IPR004114","THUMP domain","1","685","0","Inf"
"IPR004115","GAD domain","1","686","1","620"
"IPR004164","Coenzyme A transferase 2","1","687","0","Inf"
"IPR004170","WWE domain","1","688","2","515"
"IPR004177","DDHD domain","1","689","1","622"
"IPR004184","Pyruvate formate-lyase","1","690","0","Inf"
"IPR004199","Beta galactosidase small chain N terminus","1","691","0","Inf"
"IPR004200","Beta galactosidase small chain C terminus","1","692","0","Inf"
"IPR004302","Spheroidin/spindolin","1","693","0","Inf"
"IPR004305","TENA/THI-4 protein","1","694","2","518"
"IPR004457","ZPR1 zinc finger domain","1","695","2","520"
"IPR004495","Methionyl-tRNA synthetase C-terminal region beta subunit","1","696","0","Inf"
"IPR004521","Uncharacterized domain 2","1","697","1","624"
"IPR004646","Fe-S type hydro-lyases tartrate/fumarate alpha region","1","698","0","Inf"
"IPR004647","Fe-S type hydro-lyases tartrate/fumarate beta region","1","699","0","Inf"
"IPR003871","Domain of unknown function DUF223","0","Inf","56","55"
"IPR002049","Laminin-type EGF-like (LE) domain","0","Inf","7","275"
"IPR003164","Alpha adaptin carboxyl-terminal domain","0","Inf","2","498"
"IPR004036","Endonuclease III, HhH","0","Inf","2","513"
"IPR000050","Phosphotyrosine interaction (PID or PI)","0","Inf","1","523"
"IPR000418","Ets-domain","0","Inf","1","531"
"IPR000538","Link domain","0","Inf","1","534"
"IPR000712","Apoptosis regulator protein, Bcl-2 family BH domain","0","Inf","1","536"
"IPR001138","Fungal transcriptional regulatory protein, N-terminus","0","Inf","1","545"
"IPR001319","Nuclear transition protein 1","0","Inf","1","549"
"IPR001639","Bacterial type II secretion system protein C","0","Inf","1","554"
"IPR001751","S-100/ICaBP type calcium binding protein","0","Inf","1","563"
"IPR001762","Disintegrin","0","Inf","1","565"
"IPR002466","Adenosine-deaminase (editase) domain","0","Inf","1","574"
"IPR003142","Biotin protein ligase C terminal domain","0","Inf","1","588"
"IPR003312","B12 binding domain","0","Inf","1","592"
"IPR003738","DUF159","0","Inf","1","601"
"IPR003772","DUF177","0","Inf","1","606"
"IPR004008","Ku domain","0","Inf","1","612"
"IPR004119","Domain of unknown function DUF227","0","Inf","1","621"
"IPR004635","Signal peptide peptidase SppA 36K type","0","Inf","1","625"
,"Ab initio vs cDNAs","FgeneSH(Beijing)",,"nr-KOME",
,"# of Genes in data set","49088",,"19079",
,"# with Interpro_ID","14407",,"5919",
"Interpro_ID","Domain_Name","Genes","Rank","Genes","Rank"
"IPR002219","Phorbol esters/diacylglycerol binding domain","836","1","333","1"
"IPR001810","F-box domain","809","2","269","2"
"IPR001170","Natriuretic peptides receptor, N-terminus","641","3","194","5"
"IPR002182","NB-ARC domain","453","4","86","13"
"IPR001841","RING finger","435","5","233","3"
"IPR001899","Gram-positive cocci surface protein 'anchoring' hexapeptide","424","6","151","6"
"IPR000477","RNA-directed DNA polymerase (Reverse transcriptase)","384","7","7","191"
"IPR001005","Myb DNA binding domain","373","8","118","9"
"IPR000345","Cytochrome c family heme-binding site","372","9","144","7"
"IPR000504","RNA-binding region RNP-1  (RNA recognition motif)","341","10","203","4"
"IPR003885","Leucine-rich repeat cysteine-containing subfamily","307","11","62","20"
"IPR001084","Microtubule associated Tau protein","278","12","101","12"
"IPR002048","EF-hand","255","13","115","11"
"IPR000822","Zinc finger, C2H2 type","253","14","115","10"
"IPR001230","Prenyl group binding site (CAAX box)","251","15","130","8"
"IPR003439","ABC transporter","241","16","59","21"
"IPR003163","Yeast DNA-binding domain","192","17","68","17"
"IPR003015","Myc-type, helix-loop-helix dimerization domain","185","18","66","18"
"IPR000210","BTB/POZ domain","178","19","49","28"
"IPR001471","AP2 domain/ethylene responsive element binding protein","170","20","52","24"
"IPR000561","EGF-like domain","163","21","47","31"
"IPR000169","Eukaryotic thiol (cysteine) proteases active site","155","22","49","27"
"IPR003612","Plant lipid transfer/seed storage/trypsin-alpha amylase inhibitor domain","138","23","70","15"
"IPR001623","DnaJ N-terminal domain","126","24","69","16"
"IPR000637","HMG-I and HMG-Y DNA-binding domain (A+T-hook)","125","25","52","23"
"IPR001589","Actinin-type actin-binding domain","124","26","41","36"
"IPR001092","Basic helix-loop-helix dimerization domain (bHLH)","118","27","50","25"
"IPR001934","Heavy-metal-associated domain","116","28","44","33"
"IPR003006","Immunoglobulin and major histocompatibility complex domain","112","29","36","41"
"IPR000424","Single-strand binding protein family","110","30","62","19"
"IPR001007","von Willebrand factor, type C repeat","108","31","37","40"
"IPR003657","WRKY DNA binding domain","106","32","36","42"
"IPR003609","Divergent subfamily of APPLE domain","105","33","25","63"
"IPR002078","Sigma-54 factor interaction domain","104","34","70","14"
"IPR001064","Crystallin","100","35","38","37"
"IPR001650","Helicase C-terminal domain","97","36","50","26"
"IPR000008","C2 domain","95","37","56","22"
"IPR000626","Ubiquitin domain","95","38","48","29"
"IPR001356","Homeobox domain","94","39","38","38"
"IPR004330","FAR1 protein","94","40","18","88"
"IPR000097","AP endonucleases family 1","92","41","10","137"
"IPR000953","Chromo domain","92","42","9","158"
"IPR001932","Protein phosphatase 2C domain","91","43","47","32"
"IPR004045","Glutathione S-transferase N terminus","89","44","48","30"
"IPR000130","Neutral zinc metallopeptidases, zinc-binding region","88","45","29","51"
"IPR000531","TonB-dependent receptor protein","83","46","30","49"
"IPR002083","Meprin and TRAF Homology domain (MATH)","81","47","14","105"
"IPR004332","Plant MuDR transposase","81","48","7","204"
"IPR002100","MADS-box domain","79","49","22","66"
"IPR004046","Glutathione S-transferase C terminus","79","50","43","35"
"IPR002168","Lipolytic enzymes","78","51","43","34"
"IPR001881","Calcium-binding EGF-like domain","73","52","18","87"
"IPR000571","Zinc finger C-x8-C-x5-C-x3-H type","69","53","33","45"
"IPR001789","Response regulator receiver domain","69","54","16","96"
"IPR002528","Uncharacterized domain UPF0013","69","55","31","48"
"IPR001965","PHD-finger","68","56","31","47"
"IPR003594","Histidine kinase-, DNA gyrase B-, phytochrome-like ATPase","68","57","22","68"
"IPR003613","Modified RING finger domain","68","58","38","39"
"IPR001220","Legume lectin beta domain","66","59","28","53"
"IPR000063","Thioredoxin","63","60","33","44"
"IPR003245","Plant cyanin copper (blue) type domain","61","61","26","61"
"IPR001752","Kinesin motor domain","60","62","27","58"
"IPR001929","Germin","60","63","25","62"
"IPR003137","Protease associated (PA) domain","60","64","26","60"
"IPR001917","Aminotransferases class-II","58","65","20","76"
"IPR004253","DUF231 domain","58","66","34","43"
"IPR000070","Pectinesterase","53","67","29","50"
"IPR000689","UbiH/COQ6 monooxygenase family","53","68","27","57"
"IPR000629","ATP-dependent helicase, DEAD-box","51","69","27","56"
"IPR000644","CBS domain","51","70","24","65"
"IPR000743","Glycoside hydrolase family 28","51","71","28","52"
"IPR000623","Shikimate kinase","50","72","21","70"
"IPR001343","Hemolysin-type calcium-binding region","50","73","8","176"
"IPR001575","FAD linked oxidase, N-terminal","50","74","14","104"
"IPR000608","Ubiquitin-conjugating enzymes","47","75","31","46"
"IPR000194","ATP synthase alpha and beta subunit, central region","46","76","24","64"
"IPR000595","Cyclic nucleotide-binding domain","44","77","17","89"
"IPR003656","BED finger","43","78","9","166"
"IPR004087","KH domain","41","79","22","69"
"IPR000449","Ubiquitin-associated domain","40","80","27","55"
"IPR000985","Legume lectin alpha domain","37","81","13","109"
"IPR001895","Guanine-nucleotide dissociation stimulators CDC25 family","37","82","27","59"
"IPR000005","AraC type helix-turn-helix","36","83","8","169"
"IPR001214","SET-domain of transcriptional regulators (TRX, EZ, ASH1 etc)","36","84","21","71"
"IPR001825","ADP-glucose pyrophosphorylase","36","85","19","83"
"IPR002162","D-isomer specific 2-hydroxyacid dehydrogenase","36","86","20","77"
"IPR003660","HAMP domain","36","87","2","432"
"IPR000849","GlpT family of transporters","35","88","13","108"
"IPR001849","Pleckstrin homology (PH) domain","35","89","19","84"
"IPR000432","DNA mismatch repair protein MutS family, C-terminal domain","34","90","12","118"
"IPR001229","Jacalin-related lectin domain","34","91","6","213"
"IPR002035","von Willebrand factor type A domain","34","92","12","121"
"IPR000727","Target SNARE coiled-coil domain","33","93","19","80"
"IPR000897","GTP-binding signal recognition particle (SRP54) G-domain","33","94","16","93"
"IPR001753","Enoyl-CoA hydratase/isomerase","33","95","15","99"
"IPR000086","NUDIX hydrolase","32","96","18","85"
"IPR001251","Cellular retinaldehyde-binding protein (CRAL)/Triple function domain (TRIO)","32","97","20","73"
"IPR000774","Domain amino terminal to FKBP-type peptidyl-prolyl isomerase","31","98","20","72"
"IPR001320","Ionotropic glutamate receptor","31","99","7","193"
"IPR001737","Ribosomal RNA adenine dimethylase","31","100","19","82"
"IPR002912","ACT domain","31","101","20","78"
"IPR004314","Arabidopsis DUF239 protein","31","102","6","226"
"IPR000330","SNF2 related domain","30","103","16","92"
"IPR001487","Bromodomain","30","104","16","95"
"IPR001763","Rhodanese/cdc25 fold","30","105","11","130"
"IPR000315","B-box zinc finger domain","29","106","16","91"
"IPR000679","GATA-type zinc finger domain","29","107","11","127"
"IPR001073","Complement C1q protein","29","108","18","86"
"IPR001510","Poly(ADP-ribose) polymerase zinc finger domain","29","109","9","159"
"IPR002130","Cyclophilin-type peptidyl-prolyl cis-trans isomerase","29","110","22","67"
"IPR000232","Heat shock factor (HSF)-type DNA-binding domain","28","111","19","79"
"IPR000583","Glutamine amidotransferase class-II","28","112","10","139"
"IPR000886","Endoplasmic reticulum targeting sequence","28","113","19","81"
"IPR002464","ATP-dependent helicase, DEAH-box","28","114","12","122"
"IPR002482","LysM motif","28","115","8","179"
"IPR004161","Elongation factor Tu domain 2","28","116","28","54"
"IPR001678","NOL1/NOP2/sun family","27","117","13","113"
"IPR004359","Histidine kinase C-terminal","27","118","4","299"
"IPR001357","BRCT domain","26","119","16","94"
"IPR003029","S1 RNA binding domain","26","120","12","123"
"IPR003851","Dof zinc finger","26","121","13","114"
"IPR000014","PAS domain","25","122","5","227"
"IPR000672","Tetrahydrofolate dehydrogenase/cyclohydrolase","25","123","9","156"
"IPR000965","Gamma-glutamyl phosphate reductase","24","124","17","90"
"IPR001159","Double-stranded RNA binding (DsRBD) domain","24","125","13","111"
"IPR001594","DHHC-type Zn-finger","24","126","20","74"
"IPR000292","Formate and nitrite transporters","23","127","9","154"
"IPR001002","Chitin-binding domain","23","128","14","103"
"IPR001313","Pumilio-family RNA binding domains (aka PUM-HD, Pumilio homology domain)","23","129","11","129"
"IPR001876","Zn-finger in ranbp and others","23","130","20","75"
"IPR002939","DnaJ C terminal domain","23","131","14","106"
"IPR003104","Formin Homology 2 Domain","23","132","10","149"
"IPR001433","Oxidoreductase FAD and NAD(P)-binding domain","22","133","13","112"
"IPR001478","PDZ domain (also known as DHR or GLGF)","22","134","12","120"
"IPR002913","START domain","22","135","9","163"
"IPR000160","Domain of unknown function, DUF9","21","136","0","Inf"
"IPR001858","Phosphatidylethanolamine-binding protein family","21","137","4","276"
"IPR002135","3-hydroxyacyl-CoA dehydrogenase","21","138","9","162"
"IPR003616","Post-SET domain","21","139","12","124"
"IPR003661","Histidine kinase A, N-terminal","21","140","3","353"
"IPR004367","Cyclin C-terminus","21","141","13","115"
"IPR000717","Domain in components of the proteasome, COP9-complex and eIF3 (PCI)","20","142","14","102"
"IPR001202","WW / rsp5 / WWP domain","20","143","10","142"
"IPR003016","2-oxo acid dehydrogenases acyltransferase component lipoyl binding site","20","144","15","100"
"IPR003100","PAZ domain","20","145","8","183"
"IPR003958","Transcription factor (CBF/NF-Y) and archaeal histone","20","146","8","186"
"IPR000195","RabGAP/TBC domain","19","147","14","101"
"IPR000304","Delta 1-pyrroline-5-carboxylate reductase","19","148","13","107"
"IPR000804","Clathrin adaptor complex, small chain","19","149","11","128"
"IPR001450","4Fe-4S ferredoxin, iron-sulfur binding domain","19","150","8","177"
"IPR002942","S4 domain","19","151","9","164"
"IPR004333","SBP plant protein domain","19","152","11","134"
"IPR000306","FYVE Zn-finger, rabphilin/VPS27/FAB1 type","18","153","7","190"
"IPR000760","Inositol monophosphatase","18","154","8","173"
"IPR001024","Lipoxygenase, region 2","18","155","10","141"
"IPR001609","Myosin head (motor domain)","18","156","4","271"
"IPR003165","Piwi domain","18","157","7","200"
"IPR003617","Domain in N-terminus of transcription elongation factor S-II (and elsewhere)","18","158","4","291"
"IPR003961","Fibronectin type III domain","18","159","10","151"
"IPR004014","Cation transporter ATPase","18","160","7","203"
"IPR004182","GRAM domain","18","161","12","125"
"IPR000058","AN1-like Zinc finger","17","162","10","136"
"IPR000062","Thymidylate kinase","17","163","5","228"
"IPR000302","Ribosomal protein L24/bacterial NUSG","17","164","12","117"
"IPR000524","Bacterial regulatory proteins, GntR family","17","165","6","208"
"IPR001045","Spermidine  synthase","17","166","12","119"
"IPR001199","Cytochrome b5","17","167","15","98"
"IPR001764","Glycoside hydrolase family 3, N terminal","17","168","8","178"
"IPR002199","Uncharacterized protein family UPF0005","17","169","10","146"
"IPR000253","Forkhead-associated (FHA) domain","16","170","12","116"
"IPR000283","Respiratory-chain NADH dehydrogenase 75 Kd subunit","16","171","7","189"
"IPR000385","MoaA / nifB / pqqE family","16","172","4","261"
"IPR000594","UBA/THIF-type NAD/FAD binding fold","16","173","3","309"
"IPR001025","BAH (bromo-adjacent homology) domain","16","174","8","174"
"IPR001026","Epsin N-terminal homology (ENTH) domain","16","175","13","110"
"IPR001587","Uncharacterized protein UPF0036","16","176","6","215"
