"Additional File 2. COGs present in the seven E. faecium genomes"
,,,
,,,,,,"Strainsb",,,
"EfmE980_0058","COG0596","R","Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)"
"EfmE980_0203","COG0596","R","Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)"
"EfmE980_0295","COG0597","MU","Lipoprotein signal peptidase"
"EfmE980_1090","COG0598","P","Mg2+ and Co2+ transporters"
"EfmE980_1507","COG0598","P","Mg2+ and Co2+ transporters"
"EfmE980_1779","COG0598","P","Mg2+ and Co2+ transporters"
"EfmE980_2683","COG0598","P","Mg2+ and Co2+ transporters"
"EfmE980_0461","COG0599","S","Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit"
"EfmE980_0521","COG0601","EP","ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
"EfmE980_2057","COG0601","EP","ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
"EfmE980_2833","COG0601","EP","ABC-type dipeptide/oligopeptide/nickel transport systems, permease components"
"EfmE980_1825","COG0602","O","Organic radical activating enzymes"
"EfmE980_2506","COG0604","CR","NADPH:quinone reductase and related Zn-dependent oxidoreductases"
"EfmE980_2721","COG0604","CR","NADPH:quinone reductase and related Zn-dependent oxidoreductases"
"EfmE980_2756","COG0604","CR","NADPH:quinone reductase and related Zn-dependent oxidoreductases"
"EfmE980_2761","COG0604","CR","NADPH:quinone reductase and related Zn-dependent oxidoreductases"
"EfmE980_2208","COG0605","P","Superoxide dismutase"
"EfmE980_0442","COG0607","P","Rhodanese-related sulfurtransferase"
"EfmE980_1228","COG0607","P","Rhodanese-related sulfurtransferase"
"EfmE980_1997","COG0607","P","Rhodanese-related sulfurtransferase"
"EfmE980_0337","COG0608; COG4199","LS","Single-stranded DNA-specific exonuclease; Uncharacterized protein conserved in bacteria"
"EfmE980_0448","COG0609","P","ABC-type Fe3+-siderophore transport system, permease component"
"EfmE980_0449","COG0609","P","ABC-type Fe3+-siderophore transport system, permease component"
"EfmE980_2399","COG0612","R","Predicted Zn-dependent peptidases"
"EfmE980_2400","COG0612","R","Predicted Zn-dependent peptidases"
"EfmE980_0451","COG0614","P","ABC-type Fe3+-hydroxamate transport system, periplasmic component"
"EfmE980_1630","COG0616","OU","Periplasmic serine proteases (ClpP class)"
"EfmE980_0072","COG0617","J","tRNA nucleotidyltransferase/poly(A) polymerase"
"EfmE980_0935","COG0618","R","Exopolyphosphatase-related proteins"
"EfmE980_0510","COG0619","P","ABC-type cobalt transport system, permease component CbiQ and related transporters"
"EfmE980_1453","COG0619","P","ABC-type cobalt transport system, permease component CbiQ and related transporters"
"EfmE980_1605","COG0620","E","Methionine synthase II (cobalamin-independent)"
"EfmE980_1791","COG0620","E","Methionine synthase II (cobalamin-independent)"
"EfmE980_2767","COG0620","E","Methionine synthase II (cobalamin-independent)"
"EfmE980_2311","COG0622","R","Predicted phosphoesterase"
"EfmE980_0349","COG0623","I","Enoyl-[acyl-carrier-protein] reductase (NADH)"
"EfmE980_2315","COG0623","I","Enoyl-[acyl-carrier-protein] reductase (NADH)"
"EfmE980_0057","COG0624","E","Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases"
"EfmE980_0311","COG0624","E","Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases"
"EfmE980_0312","COG0624","E","Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases"
"EfmE980_2039","COG0624","E","Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases"
"EfmE980_2171","COG0624","E","Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases"
"EfmE980_2080","COG0626","E","Cystathionine beta-lyases/cystathionine gamma-synthases"
"EfmE980_2111","COG0627","R","Predicted esterase"
"EfmE980_0602","COG0628","R","Predicted permease"
"EfmE980_0717","COG0628","R","Predicted permease"
"EfmE980_0773","COG0628","R","Predicted permease"
"EfmE980_1226","COG0628","R","Predicted permease"
"EfmE980_2615","COG0628","R","Predicted permease"
"EfmE980_0580","COG0629","L","Single-stranded DNA-binding protein"
"EfmE980_2441","COG0629","L","Single-stranded DNA-binding protein"
"EfmE980_2808","COG0629","L","Single-stranded DNA-binding protein"
"EfmE980_2371","COG0631","T","Serine/threonine protein phosphatase"
"EfmE980_0570","COG0632","L","Holliday junction resolvasome, DNA-binding subunit"
"EfmE980_0865","COG0634","F","Hypoxanthine-guanine phosphoribosyltransferase"
"EfmE980_1667","COG0635","H","Coproporphyrinogen III oxidase and related Fe-S oxidoreductases"
"EfmE980_2161","COG0636","C","F0F1-type ATP synthase, subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K"
"EfmE980_2200","COG0636","C","F0F1-type ATP synthase, subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K"
"EfmE980_0183","COG0637","R","Predicted phosphatase/phosphohexomutase"
"EfmE980_0278","COG0637","R","Predicted phosphatase/phosphohexomutase"
"EfmE980_0425","COG0637","R","Predicted phosphatase/phosphohexomutase"
"EfmE980_1108","COG0637","R","Predicted phosphatase/phosphohexomutase"
"EfmE980_1881","COG0637","R","Predicted phosphatase/phosphohexomutase"
"EfmE980_2027","COG0637","R","Predicted phosphatase/phosphohexomutase"
"EfmE980_2662","COG0637","R","Predicted phosphatase/phosphohexomutase"
"EfmE980_1574","COG0639","T","Diadenosine tetraphosphatase and related serine/threonine protein phosphatases"
"EfmE980_1081","COG0640","K","Predicted transcriptional regulators"
"EfmE980_1380","COG0640","K","Predicted transcriptional regulators"
"EfmE980_1541","COG0640","K","Predicted transcriptional regulators"
"EfmE980_0987","COG0641","R","Arylsulfatase regulator (Fe-S oxidoreductase)"
"EfmE980_0235","COG0642","T","Signal transduction histidine kinase"
"EfmE980_0361","COG0642","T","Signal transduction histidine kinase"
"EfmE980_0915","COG0642","T","Signal transduction histidine kinase"
"EfmE980_1068","COG0642","T","Signal transduction histidine kinase"
"EfmE980_1299","COG0642","T","Signal transduction histidine kinase"
"EfmE980_2116","COG0642","T","Signal transduction histidine kinase"
"EfmE980_2494","COG0642","T","Signal transduction histidine kinase"
"EfmE980_2593","COG0642","T","Signal transduction histidine kinase"
"EfmE980_0924","COG0647","G","Predicted sugar phosphatases of the HAD superfamily"
"EfmE980_1364","COG0648","L","Endonuclease IV"
"EfmE980_2357","COG0651","CP","Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit"
"EfmE980_0347","COG0652","O","Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family"
"EfmE980_0920","COG0652","O","Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family"
"EfmE980_2140","COG0653","U","Preprotein translocase subunit SecA (ATPase, RNA helicase)"
"EfmE980_2648","COG0655","R","Multimeric flavodoxin WrbA"
"EfmE980_0032","COG0656","R","Aldo/keto reductases, related to diketogulonate reductase"
"EfmE980_1776","COG0656","R","Aldo/keto reductases, related to diketogulonate reductase"
"EfmE980_1260","COG0657","I","Esterase/lipase"
"EfmE980_1604","COG0657","I","Esterase/lipase"
"EfmE980_2645","COG0657","I","Esterase/lipase"
"EfmE980_1843","COG0659","P","Sulfate permease and related transporters (MFS superfamily)"
"EfmE980_2729","COG0661","R","Predicted unusual protein kinase"
"EfmE980_1900","COG0662","G","Mannose-6-phosphate isomerase"
"EfmE980_0175","COG0663","R","Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily"
"EfmE980_0022","COG0664","T","cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases"
"EfmE980_0154","COG0664","T","cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases"
"EfmE980_0430","COG0664","T","cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases"
"EfmE980_1676","COG0664","T","cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases"
"EfmE980_1885","COG0664","T","cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases"
"EfmE980_2014","COG0664","T","cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases"
"EfmE980_1182","COG0665","E","Glycine/D-amino acid oxidases (deaminating)"
"EfmE980_1149","COG0667","C","Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)"
"EfmE980_1775","COG0667","C","Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)"
"EfmE980_1937","COG0667","C","Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)"
"EfmE980_0351","COG0668","M","Small-conductance mechanosensitive channel"
"EfmE980_1704","COG0669","H","Phosphopantetheine adenylyltransferase"
"EfmE980_1568","COG0670","R","Integral membrane protein, interacts with FtsH"
"EfmE980_2842","COG0670","R","Integral membrane protein, interacts with FtsH"
"EfmE980_1075","COG0671","I","Membrane-associated phospholipid phosphatase"
"EfmE980_1754","COG0671","I","Membrane-associated phospholipid phosphatase"
"EfmE980_0249","COG0673","R","Predicted dehydrogenases and related proteins"
"EfmE980_1193","COG0673","R","Predicted dehydrogenases and related proteins"
"EfmE980_1485","COG0673","R","Predicted dehydrogenases and related proteins"
"EfmE980_1746","COG0673","R","Predicted dehydrogenases and related proteins"
"EfmE980_2225","COG0673","R","Predicted dehydrogenases and related proteins"
"EfmE980_2226","COG0673","R","Predicted dehydrogenases and related proteins"
"EfmE980_2628","COG0673","R","Predicted dehydrogenases and related proteins"
"EfmE980_1639","COG0674; COG1013; COG1014","CCC","Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, alpha subunit; Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, beta subunit; Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit"
"EfmE980_2837","COG0675","L","Transposase and inactivated derivatives"
"EfmE980_1270","COG0679","R","Predicted permeases"
"EfmE980_0086","COG0681","U","Signal peptidase I"
"EfmE980_1251","COG0681","U","Signal peptidase I"
"EfmE980_1265","COG0681","U","Signal peptidase I"
"EfmE980_1840","COG0681","U","Signal peptidase I"
"EfmE980_1352","COG0682","M","Prolipoprotein diacylglyceryltransferase"
"EfmE980_1678","COG0682","M","Prolipoprotein diacylglyceryltransferase"
"EfmE980_2766","COG0687","E","Spermidine/putrescine-binding periplasmic protein"
"EfmE980_2310","COG0689; COG0127","JF","RNase PH; Xanthosine triphosphate pyrophosphatase"
"EfmE980_1323","COG0690","U","Preprotein translocase subunit SecE"
"EfmE980_2163","COG0691","O","tmRNA-binding protein"
"EfmE980_1204","COG0692","L","Uracil DNA glycosylase"
"EfmE980_0389","COG0693","R","Putative intracellular protease/amidase"
"EfmE980_1540","COG0693","R","Putative intracellular protease/amidase"
"EfmE980_1987","COG0693","R","Putative intracellular protease/amidase"
"EfmE980_0624","COG0695","O","Glutaredoxin and related proteins"
"EfmE980_0595","COG0698","G","Ribose 5-phosphate isomerase RpiB"
"EfmE980_0596","COG0698","G","Ribose 5-phosphate isomerase RpiB"
"EfmE980_0819","COG0701","R","Predicted permeases"
"EfmE980_2521","COG0702","MG","Predicted nucleoside-diphosphate-sugar epimerases"
"EfmE980_2757","COG0702","MG","Predicted nucleoside-diphosphate-sugar epimerases"
"EfmE980_1594","COG0703","E","Shikimate kinase"
"EfmE980_2129","COG0704","P","Phosphate uptake regulator"
"EfmE980_0445","COG0705","R","Uncharacterized membrane protein (homolog of Drosophila rhomboid)"
"EfmE980_1418","COG0706","U","Preprotein translocase subunit YidC"
"EfmE980_2431","COG0706","U","Preprotein translocase subunit YidC"
"EfmE980_1499","COG0707","M","UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase"
"EfmE980_1192","COG0708","L","Exonuclease III"
"EfmE980_0366","COG0710","E","3-dehydroquinate dehydratase"
"EfmE980_2160","COG0711","C","F0F1-type ATP synthase, subunit b"
"EfmE980_2333","COG0711","C","F0F1-type ATP synthase, subunit b"
"EfmE980_2159","COG0712","C","F0F1-type ATP synthase, delta subunit (mitochondrial oligomycin sensitivity protein)"
"EfmE980_1308","COG0714","R","MoxR-like ATPases"
"EfmE980_1412","COG0714","R","MoxR-like ATPases"
"EfmE980_0119","COG0715; COG0600","PP","ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components; ABC-type nitrate/sulfonate/bicarbonate transport system, permease component"
"EfmE980_2257","COG0716","C","Flavodoxins"
"EfmE980_1816","COG0718","S","Uncharacterized protein conserved in bacteria"
"EfmE980_1028","COG0719","O","ABC-type transport system involved in Fe-S cluster assembly, permease component"
"EfmE980_1031","COG0719","O","ABC-type transport system involved in Fe-S cluster assembly, permease component"
"EfmE980_1615","COG0721","J","Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit"
"EfmE980_2179","COG0726","G","Predicted xylanase/chitin deacetylase"
"EfmE980_0830","COG0730","R","Predicted permeases"
"EfmE980_0588","COG0732","V","Restriction endonuclease S subunits"
"EfmE980_1783","COG0732","V","Restriction endonuclease S subunits"
"EfmE980_0047","COG0735","P","Fe2+/Zn2+ uptake regulation proteins"
"EfmE980_0329","COG0735","P","Fe2+/Zn2+ uptake regulation proteins"
"EfmE980_1382","COG0735","P","Fe2+/Zn2+ uptake regulation proteins"
"EfmE980_2725","COG0736","I","Phosphopantetheinyl transferase (holo-ACP synthase)"
"EfmE980_0926","COG0737","F","5'-nucleotidase/2',3'-cyclic phosphodiesterase and related esterases"
"EfmE980_2791","COG0739; COG1705; COG3266","MNUS","Membrane proteins related to metalloendopeptidases; Muramidase (flagellum-specific); Uncharacterized protein conserved in bacteria"
"EfmE980_0174","COG0740","OU","Protease subunit of ATP-dependent Clp proteases"
"EfmE980_0671","COG0740","OU","Protease subunit of ATP-dependent Clp proteases"
"EfmE980_0038","COG0741","M","Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM/invasin domains)"
"EfmE980_1705","COG0742","L","N6-adenine-specific methylase"
"EfmE980_0322","COG0744","M","Membrane carboxypeptidase (penicillin-binding protein)"
"EfmE980_0876","COG0744","M","Membrane carboxypeptidase (penicillin-binding protein)"
"EfmE980_1363","COG0744","M","Membrane carboxypeptidase (penicillin-binding protein)"
"EfmE980_0236","COG0745","TK","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
"EfmE980_0360","COG0745","TK","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
"EfmE980_0635","COG0745","TK","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
"EfmE980_0914","COG0745","TK","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
"EfmE980_1069","COG0745","TK","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
"EfmE980_1298","COG0745","TK","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
"EfmE980_2115","COG0745","TK","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
"EfmE980_2592","COG0745","TK","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain"
"EfmE980_0523","COG0747","E","ABC-type dipeptide transport system, periplasmic component"
"EfmE980_1566","COG0749","L","DNA polymerase I - 3'-5' exonuclease and polymerase domains"
"EfmE980_0415","COG0750","M","Predicted membrane-associated Zn-dependent proteases 1"
"EfmE980_1394","COG0751","J","Glycyl-tRNA synthetase, beta subunit"
"EfmE980_1393","COG0752","J","Glycyl-tRNA synthetase, alpha subunit"
"EfmE980_2413","COG0756","F","dUTPase"
"EfmE980_0091","COG0758","LU","Predicted Rossmann fold nucleotide-binding protein involved in DNA uptake"
"EfmE980_2152","COG0759","S","Uncharacterized conserved protein"
"EfmE980_1022","COG0760","O","Parvulin-like peptidyl-prolyl isomerase"
"EfmE980_1121","COG0760","O","Parvulin-like peptidyl-prolyl isomerase"
"EfmE980_2638","COG0760","O","Parvulin-like peptidyl-prolyl isomerase"
"EfmE980_1493","COG0762","S","Predicted integral membrane protein"
"EfmE980_0348","COG0764","I","3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratases"
"EfmE980_0793","COG0764","I","3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratases"
"EfmE980_0733","COG0765","E","ABC-type amino acid transport system, permease component"
"EfmE980_2307","COG0765","E","ABC-type amino acid transport system, permease component"
"EfmE980_2308","COG0765","E","ABC-type amino acid transport system, permease component"
"EfmE980_2672","COG0765","E","ABC-type amino acid transport system, permease component"
"EfmE980_2746","COG0765; COG0834","EET","ABC-type amino acid transport system, permease component; ABC-type amino acid transport/signal transduction systems, periplasmic component/domain"
"EfmE980_0165","COG0766","M","UDP-N-acetylglucosamine enolpyruvyl transferase"
"EfmE980_2154","COG0766","M","UDP-N-acetylglucosamine enolpyruvyl transferase"
"EfmE980_0704","COG0768","M","Cell division protein FtsI/penicillin-binding protein 2"
"EfmE980_0814","COG0768","M","Cell division protein FtsI/penicillin-binding protein 2"
"EfmE980_1502","COG0768","M","Cell division protein FtsI/penicillin-binding protein 2"
"EfmE980_1244","COG0769","M","UDP-N-acetylmuramyl tripeptide synthase"
"EfmE980_1763","COG0769","M","UDP-N-acetylmuramyl tripeptide synthase"
"EfmE980_2727","COG0770","M","UDP-N-acetylmuramyl pentapeptide synthase"
"EfmE980_1500","COG0771","M","UDP-N-acetylmuramoylalanine-D-glutamate ligase"
"EfmE980_0702","COG0772","D","Bacterial cell division membrane protein"
"EfmE980_1038","COG0772","D","Bacterial cell division membrane protein"
"EfmE980_1710","COG0772","D","Bacterial cell division membrane protein"
"EfmE980_1570","COG0773","M","UDP-N-acetylmuramate-alanine ligase"
"EfmE980_1061","COG0775","F","Nucleoside phosphorylase"
"EfmE980_0066","COG0776","L","Bacterial nucleoid DNA-binding protein"
"EfmE980_0795","COG0777","I","Acetyl-CoA carboxylase beta subunit"
"EfmE980_2528","COG0778","C","Nitroreductase"
"EfmE980_0412","COG0779","S","Uncharacterized protein conserved in bacteria"
"EfmE980_1516","COG0781","K","Transcription termination factor"
"EfmE980_2218","COG0782","K","Transcription elongation factor"
"EfmE980_1674","COG0783","P","DNA-binding ferritin-like protein (oxidative damage protectant)"
"EfmE980_2489","COG0783","P","DNA-binding ferritin-like protein (oxidative damage protectant)"
"EfmE980_2724","COG0787","M","Alanine racemase"
"EfmE980_0169","COG0789","K","Predicted transcriptional regulators"
"EfmE980_1460","COG0789","K","Predicted transcriptional regulators"
"EfmE980_1606","COG0789","K","Predicted transcriptional regulators"
"EfmE980_2582","COG0789","K","Predicted transcriptional regulators"
"EfmE980_2869","COG0789","K","Predicted transcriptional regulators"
"EfmE980_0852","COG0791","M","Cell wall-associated hydrolases (invasion-associated proteins)"
"EfmE980_2347","COG0791","M","Cell wall-associated hydrolases (invasion-associated proteins)"
"EfmE980_2309","COG0796","M","Glutamate racemase"
"EfmE980_2819","COG0796","M","Glutamate racemase"
"EfmE980_0802","COG0799","S","Uncharacterized homolog of plant Iojap protein"
"EfmE980_2693","COG0800","G","2-keto-3-deoxy-6-phosphogluconate aldolase"
"EfmE980_1202","COG0802","R","Predicted ATPase or kinase"
"EfmE980_1177","COG0803","P","ABC-type metal ion transport system, periplasmic component/surface adhesin"
"EfmE980_2389","COG0803","P","ABC-type metal ion transport system, periplasmic component/surface adhesin"
"EfmE980_2616","COG0803; COG3443","PR","ABC-type metal ion transport system, periplasmic component/surface adhesin; Predicted periplasmic or secreted protein"
"EfmE980_0131","COG0806","J","RimM protein, required for 16S rRNA processing"
"EfmE980_2714","COG0809","J","S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)"
"EfmE980_1194","COG0812","M","UDP-N-acetylmuramate dehydrogenase"
"EfmE980_0998","COG0813","F","Purine-nucleoside phosphorylase"
"EfmE980_0828","COG0816","L","Predicted endonuclease involved in recombination (possible Holliday junction resolvase in Mycoplasmas and B. subtilis)"
"EfmE980_1390","COG0818","M","Diacylglycerol kinase"
"EfmE980_2827","COG0820","R","Predicted Fe-S-cluster redox enzyme"
"EfmE980_1029","COG0822","C","NifU homolog involved in Fe-S cluster formation"
"EfmE980_2037","COG0824","R","Predicted thioesterase"
"EfmE980_0796","COG0825","I","Acetyl-CoA carboxylase alpha subunit"
"EfmE980_1965","COG0825","I","Acetyl-CoA carboxylase alpha subunit"
"EfmE980_2461","COG0826","O","Collagenase and related proteases"
"EfmE980_2462","COG0826","O","Collagenase and related proteases"
"EfmE980_1136","COG0827","L","Adenine-specific DNA methylase"
"EfmE980_1383","COG0828","J","Ribosomal protein S21"
"EfmE980_0732","COG0834","ET","ABC-type amino acid transport/signal transduction systems, periplasmic component/domain"
"EfmE980_2306","COG0834","ET","ABC-type amino acid transport/signal transduction systems, periplasmic component/domain"
"EfmE980_2674","COG0834","ET","ABC-type amino acid transport/signal transduction systems, periplasmic component/domain"
"EfmE980_1651","COG0834; COG0765","ETE","ABC-type amino acid transport/signal transduction systems, periplasmic component/domain; ABC-type amino acid transport system, permease component"
"EfmE980_0981","COG0842","V","ABC-type multidrug transport system, permease component"
"EfmE980_2503","COG0842","V","ABC-type multidrug transport system, permease component"
"EfmE980_2571","COG0845","M","Membrane-fusion protein"
"EfmE980_2748","COG0846","K","NAD-dependent protein deacetylases, SIR2 family"
"EfmE980_1200","COG0847","L","DNA polymerase III, epsilon subunit and related 3'-5' exonucleases"
"EfmE980_1497","COG0849","D","Actin-like ATPase involved in cell division"
"EfmE980_0407","COG0858","J","Ribosome-binding factor A"
"EfmE980_0851","COG0860","M","N-acetylmuramoyl-L-alanine amidase"
"EfmE980_0585","COG0863","L","DNA modification methylase"
"EfmE980_1128","COG1001","F","Adenine deaminase"
"EfmE980_1401","COG1004","M","Predicted UDP-glucose 6-dehydrogenase"
"EfmE980_1344","COG1011","R","Predicted hydrolase (HAD superfamily)"
"EfmE980_2735","COG1011","R","Predicted hydrolase (HAD superfamily)"
"EfmE980_0598","COG1011; COG0582","RL","Predicted hydrolase (HAD superfamily); Integrase"
"EfmE980_2708","COG1012; COG1454","CC","NAD-dependent aldehyde dehydrogenases; Alcohol dehydrogenase, class IV"
"EfmE980_0996","COG1015","G","Phosphopentomutase"
"EfmE980_1831","COG1020","Q","Non-ribosomal peptide synthetase modules and related proteins"
"EfmE980_0401","COG1028","IQR","Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)"
"EfmE980_0552","COG1028","IQR","Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)"
"EfmE980_0790","COG1028","IQR","Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)"
"EfmE980_1091","COG1028","IQR","Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)"
"EfmE980_2690","COG1028","IQR","Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)"
"EfmE980_1709","COG1038","C","Pyruvate carboxylase"
"EfmE980_0759","COG1039","L","Ribonuclease HIII"
"EfmE980_2142","COG1040","R","Predicted amidophosphoribosyltransferases"
"EfmE980_1407","COG1045","E","Serine acetyltransferase"
"EfmE980_2409","COG1045","E","Serine acetyltransferase"
"EfmE980_1977","COG1051","F","ADP-ribose pyrophosphatase"
"EfmE980_2838","COG1051","F","ADP-ribose pyrophosphatase"
"EfmE980_1269","COG1052","CHR","Lactate dehydrogenase and related dehydrogenases"
"EfmE980_1199","COG1053","C","Succinate dehydrogenase/fumarate reductase, flavoprotein subunit"
"EfmE980_1575","COG1054","R","Predicted sulfurtransferase"
"EfmE980_2172","COG1055","P","Na+/H+ antiporter NhaD and related arsenite permeases"
"EfmE980_0800","COG1057","H","Nicotinic acid mononucleotide adenylyltransferase"
"EfmE980_2395","COG1058; COG1546","RR","Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA; Uncharacterized protein (competence- and mitomycin-induced)"
"EfmE980_1946","COG1063","ER","Threonine dehydrogenase and related Zn-dependent dehydrogenases"
"EfmE980_2412","COG1066","O","Predicted ATP-dependent serine protease"
"EfmE980_1896","COG1067","O","Predicted ATP-dependent protease"
"EfmE980_1216","COG1070","G","Sugar (pentulose and hexulose) kinases"
"EfmE980_2488","COG1070","G","Sugar (pentulose and hexulose) kinases"
"EfmE980_2700","COG1070","G","Sugar (pentulose and hexulose) kinases"
"EfmE980_1719","COG1071","C","Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, alpha subunit"
"EfmE980_0985","COG1072","H","Panthothenate kinase"
"EfmE980_0111","COG1073","R","Hydrolases of the alpha/beta superfamily"
"EfmE980_0345","COG1073","R","Hydrolases of the alpha/beta superfamily"
"EfmE980_0896","COG1073","R","Hydrolases of the alpha/beta superfamily"
"EfmE980_1461","COG1073","R","Hydrolases of the alpha/beta superfamily"
"EfmE980_2168","COG1073","R","Hydrolases of the alpha/beta superfamily"
"EfmE980_2644","COG1073; COG0513","RLKJ","Hydrolases of the alpha/beta superfamily; Superfamily II DNA and RNA helicases"
"EfmE980_2298","COG1074","L","ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)"
"EfmE980_2186","COG1078","R","HD superfamily phosphohydrolases"
"EfmE980_0995","COG1079","R","Uncharacterized ABC-type transport system, permease component"
"EfmE980_0780","COG1080","G","Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)"
"EfmE980_0879","COG1082","G","Sugar phosphate isomerases/epimerases"
"EfmE980_2703","COG1082","G","Sugar phosphate isomerases/epimerases"
"EfmE980_2224","COG1083","M","CMP-N-acetylneuraminic acid synthetase"
"EfmE980_2231","COG1086","MG","Predicted nucleoside-diphosphate sugar epimerases"
"EfmE980_0438","COG1087","M","UDP-glucose 4-epimerase"
"EfmE980_2248","COG1088","M","dTDP-D-glucose 4,6-dehydratase"
"EfmE980_2246","COG1091","M","dTDP-4-dehydrorhamnose reductase"
"EfmE980_2247","COG1091","M","dTDP-4-dehydrorhamnose reductase"
"EfmE980_0365","COG1092","R","Predicted SAM-dependent methyltransferases"
"EfmE980_0863","COG1098","J","Predicted RNA binding protein (contains ribosomal protein S1 domain)"
"EfmE980_0918","COG1098","J","Predicted RNA binding protein (contains ribosomal protein S1 domain)"
"EfmE980_0269","COG1101","R","ABC-type uncharacterized transport system, ATPase component"
"EfmE980_2480","COG1101","R","ABC-type uncharacterized transport system, ATPase component"
"EfmE980_0189","COG1104","E","Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes"
"EfmE980_1055","COG1104","E","Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes"
"EfmE980_0594","COG1105","G","Fructose-1-phosphate kinase and related fructose-6-phosphate kinase (PfkB)"
"EfmE980_1462","COG1105","G","Fructose-1-phosphate kinase and related fructose-6-phosphate kinase (PfkB)"
"EfmE980_1620","COG1105","G","Fructose-1-phosphate kinase and related fructose-6-phosphate kinase (PfkB)"
"EfmE980_1176","COG1108","P","ABC-type Mn2+/Zn2+ transport systems, permease components"
"EfmE980_2387","COG1108","P","ABC-type Mn2+/Zn2+ transport systems, permease components"
"EfmE980_1186","COG1109","G","Phosphomannomutase"
"EfmE980_1378","COG1109","G","Phosphomannomutase"
"EfmE980_1636","COG1109","G","Phosphomannomutase"
"EfmE980_0002","COG1113","E","Gamma-aminobutyrate permease and related permeases"
"EfmE980_1174","COG1113","E","Gamma-aminobutyrate permease and related permeases"
"EfmE980_1956","COG1113","E","Gamma-aminobutyrate permease and related permeases"
"EfmE980_2744","COG1113","E","Gamma-aminobutyrate permease and related permeases"
"EfmE980_0577","COG1114","E","Branched-chain amino acid permeases"
"EfmE980_1385","COG1114","E","Branched-chain amino acid permeases"
"EfmE980_0120","COG1116","P","ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component"
"EfmE980_2130","COG1117","P","ABC-type phosphate transport system, ATPase component"
